statuses_count,followers_count,friends_count,favourites_count,listed_count,account_type,url_present_0,url_present_1,location_present_0,location_present_1,default_profile_present_0,default_profile_present_1,geo_enabled_present_0,geo_enabled_present_1,profile_banner_url_present_0,profile_banner_url_present_1,profile_use_background_image_present_0,profile_use_background_image_present_1,description_num_char,description_contains_link_False,description_contains_link_True,avg_retweets,avg_favorites,avg_length,median_day_of_tweeting,median_time_of_tweeting
0.14067484386934448,0.05001977066034006,0.20684039087947884,0.002860775588048315,0.6349206349206349,1,0,1,0,1,1,0,1,0,1,0,0,1,0.5852272727272727,1,0,0.0007983356783377848,4.074974923716577e-05,0.4811732047970298,0.625,0.7083333333333333
0.18079705261266119,0.02609727164887307,0.04723127035830619,0.10267005721551176,0.25396825396825395,1,0,1,0,1,1,0,1,0,0,1,0,1,0.11931818181818182,1,0,0.0019411293336194782,0.00011313323778729063,0.41928938540585964,0.625,0.8333333333333333
0.09057824504650222,0.0061289047054171614,0.03474484256243214,0.004132231404958678,0.0,1,0,1,0,1,1,0,0,1,1,0,0,1,0.07386363636363637,1,0,0.0015142736162916757,1.849707820432943e-06,0.3404850575956516,0.625,0.5833333333333333
0.16188165520959696,0.013641755634638198,0.09717698154180239,0.016846789574062302,0.015873015873015872,1,1,0,0,1,1,0,0,1,1,0,0,1,0.20454545454545456,1,0,0.0005053502592505985,6.710056221653605e-05,0.4106878845997555,0.625,0.6249999999999999
0.053151817405759985,0.01265322261763543,0.09120521172638436,0.0006357279084551812,0.07936507936507936,1,1,0,0,1,1,0,0,1,1,0,0,1,0.8295454545454545,1,0,0.001955312729151915,1.258364204466976e-05,0.325046002273203,0.5,0.5416666666666666
0.4918452621647122,0.07512850929221036,0.38653637350705755,0.2202797202797203,0.42857142857142855,1,1,0,0,1,1,0,0,1,0,1,1,0,0.6875,1,0,0.0008128237927085065,0.00010250202913399165,0.5394679165412798,0.625,0.6249999999999999
0.1237363526081682,0.04715302491103203,0.11834961997828448,0.0712015257469803,0.20634920634920634,1,0,1,0,1,1,0,0,1,0,1,0,1,0.8977272727272727,1,0,0.0002580750116280199,4.966203556667838e-05,0.43980609936905624,0.5,0.5416666666666666
0.18470593521139417,0.031039936733886914,0.18349619978284473,0.014939605848696759,0.12698412698412698,1,1,0,0,1,1,0,0,1,0,1,0,1,0.5170454545454545,1,0,0.01514260807510974,6.596476552017709e-06,0.45244122227090844,0.625,0.5
0.0647436761468302,0.00958877026492685,0.11020629750271445,0.007946598855689765,0.031746031746031744,1,0,1,0,1,1,0,0,1,1,0,0,1,0.46590909090909094,1,0,8.988597101881905e-05,1.9423862916028606e-06,0.31769302640551983,0.625,0.7499999999999999
0.018061733387248955,0.009193357058125741,0.042345276872964174,0.01144310235219326,0.06349206349206349,1,0,1,0,1,1,0,1,0,1,0,0,1,0.23863636363636365,1,0,0.009070862731652743,6.978022752583278e-06,0.48273814493237593,0.625,0.6249999999999999
0.42400143774992133,0.06810992487149072,0.48371335504886,0.06325492689129053,0.5873015873015872,1,0,1,0,1,1,0,0,1,0,1,0,1,0.8693181818181818,1,0,0.0008264451338204551,2.8686933969085738e-05,0.5606507936726974,0.625,0.6666666666666666
0.16812688143056115,0.04992091735863978,0.30998914223669927,0.03178639542275906,0.047619047619047616,1,1,0,0,1,1,0,1,0,0,1,0,1,0.625,1,0,0.0007331861546272287,6.576653460508148e-05,0.5631194727871969,0.625,0.6249999999999999
0.03459585748303904,0.00800711743772242,0.0982627578718784,0.028289891926255563,0.031746031746031744,1,1,0,0,1,1,0,0,1,0,1,0,1,0.7670454545454545,1,0,0.0005128062114185506,7.370725331732986e-05,0.4803611816468721,0.5,0.7499999999999999
0.06424944961135821,0.01265322261763543,0.2014115092290988,0.06484424666242848,0.015873015873015872,1,1,0,0,1,1,0,1,0,1,0,0,1,0.028409090909090905,1,0,0.014403607834708567,8.422868689283438e-06,0.47551284829987744,0.625,0.7916666666666666
0.3143280765601833,0.08886911822854883,0.16558089033659068,0.10998092816274635,0.4444444444444444,1,0,1,0,1,1,0,0,1,1,0,0,1,0.38636363636363635,1,0,0.0009248093499180567,4.6668778366584654e-05,0.5030021759807783,0.5,0.7916666666666666
0.14754908568090938,0.037069988137603795,0.5640608034744843,0.0003178639542275906,0.12698412698412698,1,1,0,1,0,1,0,1,0,1,0,0,1,0.5340909090909091,1,0,0.0016852175097287387,2.0494786618104435e-05,0.5581819828091052,0.625,0.7083333333333333
0.0071887496068652555,0.004547251878212732,0.07926167209554832,0.006993006993006993,0.0,1,0,1,0,1,0,1,0,1,1,0,0,1,0.09090909090909091,1,0,0.0023812509417595763,0.00010667041150445775,0.6017667209416839,0.75,0.8749999999999999
0.013119468032529091,0.005634638196915777,0.059717698154180245,0.001589319771137953,0.0,1,0,1,0,1,0,1,0,1,1,0,0,1,0.2556818181818182,0,1,0.00018175225920662627,5.115618054585679e-05,0.360263862901,0.625,0.5833333333333333
0.2640068293121265,0.0608936338473705,0.3512486427795874,0.33725365543547364,0.4603174603174603,1,1,0,0,1,1,0,0,1,0,1,0,1,0.8125,1,0,0.016802073660570384,2.4884914368348172e-05,0.5274318472055071,0.625,0.5416666666666666
0.3385002471132677,0.11190193752471332,0.5950054288816504,0.0019071837253655435,0.8253968253968254,1,0,1,0,1,1,0,0,1,0,1,0,1,0.4545454545454546,1,0,0.00018954869568492505,2.472155606833713e-05,0.4667890142034388,0.625,0.5833333333333333
