statuses_count,followers_count,friends_count,favourites_count,listed_count,description,account_type,url_present_0,url_present_1,location_present_0,location_present_1,default_profile_present_0,default_profile_present_1,geo_enabled_present_0,geo_enabled_present_1,profile_banner_url_present_0,profile_banner_url_present_1,profile_use_background_image_present_0,profile_use_background_image_present_1,description_num_char,description_contains_link_False,description_contains_link_True,avg_retweets,avg_favorites,avg_length,median_day_of_tweeting,median_time_of_tweeting
0.0,0.0008896797153024912,0.248642779587405,0.0,0.0,False,0,1,0,0,1,0,1,1,0,1,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0012850929221035984,0.33170466883821936,0.0,0.0,False,0,1,0,0,1,0,1,1,0,1,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0
0.016758772521004626,0.005634638196915777,0.24429967426710097,0.0009535918626827717,0.015873015873015872,False,0,1,0,0,1,1,0,1,0,1,0,0,1,0.0,1,0,0.0,2.5010834238649746e-06,0.515761871675132,0.625,0.5624999999999999
0.0,0.0029655990510083037,0.23181324647122695,0.0,0.0,False,0,1,0,0,1,1,0,1,0,0,1,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0
0.00022464842521453923,0.001878212732305259,0.2231270358306189,0.0,0.0,False,0,1,0,0,1,1,0,1,0,1,0,0,1,0.0,1,0,1.8045004240575997e-05,0.0,0.34187677408582395,0.625,0.7083333333333333
0.03756121669587096,0.0012850929221035984,0.33224755700325737,0.0003178639542275906,0.0,False,0,0,1,1,0,1,0,1,0,1,0,0,1,0.5738636363636364,1,0,1.1655863983147176e-05,0.0,0.4378876225232703,0.625,0.7499999999999999
8.985937008581569e-05,0.0005931198102016608,0.2888165038002172,0.0,0.0,False,0,1,0,1,0,0,1,1,0,1,0,0,1,0.0,1,0,0.0,0.0,0.127525463349474,1.0,0.8333333333333333
4.4929685042907847e-05,0.0011862396204033216,0.18946796959826276,0.0,0.0,False,0,1,0,0,1,0,1,1,0,1,0,0,1,0.0,1,0,0.0,0.0,0.10853230923359491,1.0,0.375
0.0042683200790762455,0.00523922499011467,0.3979370249728556,0.0,0.0,False,0,1,0,1,0,1,0,1,0,1,0,0,1,0.0,1,0,0.00024845121628077265,0.0002252554713114602,0.24928157762916223,0.75,0.7083333333333333
8.985937008581569e-05,0.0004942665085013839,0.1764386536373507,0.0,0.0,True,0,1,0,1,0,0,1,1,0,1,0,0,1,0.3068181818181818,0,1,0.0,0.0,0.33373685089330435,0.625,0.5
